x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
1337600,364800,70.6272354126,228.072601318,272.800506592,27.7929763794
1459200,364800,65.5854797363,231.440734863,272.819488525,95.0803756714
1580800,364800,58.140247345,233.438293457,272.406555176,25.2422485352
1702400,364800,66.110748291,234.234466553,272.361785889,17.091594696
1824000,364800,93.9148025513,235.275390625,272.345703125,14.9171562195
1945600,364800,105.952209473,237.489959717,272.360198975,22.8372745514
2067200,364800,146.379760742,240.075897217,272.424804688,20.6612701416
2188800,364800,222.825164795,243.805007935,272.588897705,38.4874649048
2310400,364800,298.449554443,247.994003296,272.97958374,10.5173416138
2432000,364800,587.09185791,260.062591553,273.431976318,1216.5793457
-1702400,243200,844.206054688,250.265960693,271.669067383,37.6141700745
-1580800,243200,417.42755127,246.373443604,271.657287598,31.6413345337
-1459200,243200,303.296142578,246.461410522,271.684844971,5.91730260849
-1337600,243200,294.222137451,245.079620361,271.527893066,3.8011059761
-1216000,243200,199.389526367,243.623840332,271.442718506,3.82384586334
-1094400,243200,144.870635986,243.494659424,271.585540771,1.40379941463
-972800,243200,172.593338013,246.171325684,271.586761475,27.2366523743
-851200,243200,176.908798218,244.54296875,271.63293457,51.0317611694
-729600,243200,194.268341064,243.861938477,271.676025391,114.040763855
-608000,243200,180.350784302,241.168731689,271.743438721,0.372631937265
-486400,243200,162.54246521,238.478317261,271.782440186,0.0426860637963
-364800,243200,133.657714844,234.378219604,271.841644287,2.32847952843
-243200,243200,103.274536133,230.109451294,271.743988037,17.458530426
-121600,243200,73.3032608032,227.57270813,271.94329834,14.019824028
0,243200,56.7974510193,225.140594482,271.817016602,6.81279277802
121600,243200,50.884185791,223.859268188,271.977539062,7.67732429504
243200,243200,37.065246582,222.746688843,272.010772705,6.42999887466
364800,243200,30.8342914581,220.446563721,272.064331055,3.73993229866
486400,243200,26.000535965,218.598236084,272.113006592,3.04128026962
608000,243200,21.5526294708,218.36920166,272.16192627,2.3803999424
729600,243200,14.8797388077,215.589447021,272.210754395,1.2697892189
851200,243200,13.7465362549,214.660446167,272.260345459,0.825735330582
972800,243200,16.8433132172,214.412277222,272.316131592,0.0601425953209
1094400,243200,28.873966217,217.850799561,272.376861572,0.843252420425
1216000,243200,60.3807525635,222.975799561,272.46963501,4.28119659424
1337600,243200,59.6166687012,226.021408081,272.642608643,46.1494216919
1459200,243200,55.311000824,228.507598877,272.439453125,36.4307518005
1580800,243200,55.8308296204,229.324920654,272.390686035,12.1786842346
1702400,243200,64.6178436279,230.22328186,272.384735107,8.68515586853
1824000,243200,83.009223938,231.255340576,272.397491455,6.86497402191
1945600,243200,90.6885223389,232.964035034,272.442260742,8.0574426651
2067200,243200,132.405471802,235.691375732,272.531188965,24.9518299103
2188800,243200,203.543029785,239.653076172,272.68862915,44.3507232666
